"Sale Date","Last Sold Price","Address","City","State","Zip","Beds","Baths","Sq. Ft."
"3/7/25","$365,000","1808 Minor Avenue, Unit 2104","Seattle","WA","98101","0","1","378"
"10/18/24","$420,000","1808 Minor Avenue, Unit 1602","Seattle","WA","98101","1","1","464"
"6/6/24","$475,000","1808 Minor Avenue, Unit 2503","Seattle","WA","98101","0","1","466"
"7/12/24","$402,000","1808 Minor Avenue, Unit 1902","Seattle","WA","98101","0","1","439"
"2/28/25","$825,000","1808 Minor Avenue, Unit 3702","Seattle","WA","98101","2","2","954"
"8/30/24","$545,000","1808 Minor Avenue, Unit 1100","Seattle","WA","98101","1","1","673"
"11/4/24","$650,000","1808 Minor Avenue, Unit 2405","Seattle","WA","98101","1","1","614"
"12/6/24","$632,500","1808 Minor Avenue, Unit 3713","Seattle","WA","98101","1","1","702"
"9/30/24","$1,010,000","1808 Minor Avenue, Unit 1806","Seattle","WA","98101","2","2","1,022"
"6/10/24","$1,100,000","1808 Minor Avenue, Unit 2411","Seattle","WA","98101","2","2","1,042"
"8/12/24","$975,000","1808 Minor Avenue, Unit 3805","Seattle","WA","98101","2","2","1,046"
"6/18/24","$1,325,000","1808 Minor Avenue, Unit PH102","Seattle","WA","98101","2","2","1,407"
"8/6/24","$1,350,000","1808 Minor Avenue, Unit PH101","Seattle","WA","98101","3","2","1,510"
"9/27/24","$1,599,000","1808 Minor Avenue, Unit 1905","Seattle","WA","98101","2","3","1,750"
"11/26/24","$415,000","1808 Minor Avenue, Unit 2809","Seattle","WA","98101","0","1","433"
"3/29/25","$344,500","1808 Minor Avenue, Unit 401","Seattle","WA","98101","0","1","302"
"8/29/24","$935,000","1808 Minor Avenue, Unit 3801","Seattle","WA","98101","2","1","1,136"
"7/15/24","$1,350,000","1808 Minor Avenue","Seattle","WA","98101","3","2","1,510"
